Code,Style,Rank
AB000,AB00150,1
AB000,AB00250,2
AB000,AB00350,3
AB000,AB00450,4
AB000,AB00550,5
AB000,AB00650,6
AB000,AB00750,7
AB000,AB00850,8
AB000,AB00950,9
AB000,AB01350,10
AB000,AB00100,11
AB000,AB00200,12
AB000,AB00300,13
AB000,AB00400,14
AB000,AB00500,15
AB000,AB00600,16
AB000,AB00700,17
AB000,AB00800,18
AB000,AB00900,19
AB000,AB01300,20
Studs,E2001,1
Studs,E2002,2
Studs,E2003,3
Studs,E2004,4
Studs,E2006,5
Bubble,R2190,1
Bubble,P2190,2
Bubble,E2190,3
Bubble,E2191,4
Bubble,A2190,5
Bezel,R2007E,1
Bezel,R2007W,2
Bezel,E2007,3
Bezel,P2007,4
Bezel,B2007,5
Bezel,R2008E,6
Bezel,R2008W,7
Bezel,E2008,8
Bezel,P2008,9
Bezel,B2008,10
Bezel,R2009E,11
Bezel,R2009W,12
Bezel,E2009,13
Bezel,P2009,14
Bezel,B2009,15
R02,R0210,1
R02,R0211,2
R02,R0213,3
R02,R0220,4
R02,R0221,5
R02,R0222,6
R02,R0224,7
R02,R0230,8
R02,R0231,9
R02,R0232,10
R02,R0234,11
R02,R0240,12
R02,R0241,13
R02,R0243,14
R02,R0250,15
R02,R0251,16
R02,R0253,17
R02,R0260,18
R02,R0261,19
R02,R0262,20
R02,R0270,21
R02,R0271,22
R02,R0272,23
R02,R0280,24
R02,R0281,25
R02,R0282,26
R02,R0290,27
R02,R0291,28
R02,R0292,29
R02,R0320,30
R02,R0321,31
R02,R0322,32
