DesignNumber,Type,Thumbnail_Folder,Image_Folder,SubType,PrimaryShape,PrimarySetting,AccentShape,AccentSetting,Texture,Halo,ShankStudded,ShankType
BM32000001,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000001/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000001/,,,,,,,,,
BM32000002,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000002/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000002/,,,,,,,,,
BM32000003,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000003/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000003/,,,,,,,,,
BM32000004,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000004/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000004/,,,,,,,,,
BM32000005,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000005/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000005/,,,,,,,,,
BM32000006,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000006/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000006/,,,,,,,,,
BM32000007,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000007/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000007/,,,,,,,,,
BM32000008,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000008/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000008/,,,,,,,,,
BM32000009,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000009/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000009/,,,,,,,,,
BM32000010,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000010/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000010/,,,,,,,,,
BM32000011,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000011/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000011/,,,,,,,,,
BM32000012,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000012/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000012/,,,,,,,,,
BM32000013,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000013/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000013/,,,,,,,,,
BM32000014,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000014/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000014/,,,,,,,,,
BM32000015,Men's Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BM32000015/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BM32000015/,,,,,,,,,
BR02000025,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR02000025/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR02000025/,,,,,,,,,
BR02000056,Bracelet,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_400px/BR02000056/,https://mwljewels.s3.dualstack.us-east-2.amazonaws.com/images_1000px/BR02000056/,,,,,,,,,
