Location_Code,Name,Address,Phone,Email,Tax_Caption,Currency,FXR,Caption,Size,Duty,Markup,Logo
T,Diamantra Inc.,"3303 Northland Dr, #203 | Austin, TX 78731",T: (512) 535-5333 | M: (512) 470-0415,austin@diamantra.com,,USD,1,1,SizeName1,0.2,,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/DM.png
G,Diamantra GmbH,Hirschstr. 29 | 70173 Stuttgart,T: +49 711 693 8242 | H: +49 172 14 15 110,de@diamantra.com,zzgl. 19% MwSt.,EUR,0.8812,2,SizeName3,0.05,0.05,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/DM.png
I,World Shiner Italia S.r.l.,Via Camillo Cavour 108 | 50121 Firenze,T: +39 055 269 8835,italy@worldshiner.com,più 22% IVA,EUR,0.8812,2,SizeName3,0.05,0,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/WS.png
P,Diacrown sp. z o.o.,ul. Solidarnosci 117 / Office 505 | Warsaw 00-140,T: +48 794 730 040,polska@worldshiner.com,plus 23% VAT,USD,1,2,SizeName4,0.02,0,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/WS.png
U,World Shiner (U.K.) Ltd.,"Suite 9, Monument House | 215 Marsh Rd | London HA5 5NE",T: +44 20 7323 1155,uk@worldshiner.com,plus 20% GST,GBP,0.7673,2,SizeName2,0.02,0,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/WS.png
M,World Shiner Pty Ltd - VIC,"Suite 502, Wales Corner | 227 Collins St | Melbourne 3000",T: +613 9654 6369,melbourne@worldshiner.com,plus 10% GST,USD,1,2,SizeName2,0.05,0,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/WS.png
S,World Shiner Pty Ltd - NSW,Suite 301 The Cullinan | 70 Castlereagh St | Sydney 2000,T: +612 9232 3557,sydney@worldshiner.com,plus 10% GST,AUD,1.4821,2,SizeName2,0.05,0,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/WS.png
B,World Shiner Pty Ltd - QLD,"Unit 17, Level 11 | 138 Albert St | Brisbane 4000",T: +617 3210 1237,brisbane@worldshiner.com,plus 10% GST,AUD,1.4821,2,SizeName2,0.05,0,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/WS.png
N,World Shiner NZ Ltd.,Suite 4K Cantebury Bldg | 47 High St | Auckland 1010,T: +64 9 358 3443,nz@worldshiner.com,plus 15% GST,NZD,1.7335,2,SizeName2,0.05,0,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/WS.png
D,DIAMORE,"CW2030 Bharat Diamond Bourse, BKC, Mumbai 400051, India",T: +91 98202 70222,nirav@diamore.in,plus GST,USD,1,2,SizeName2,0,-99,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/DM.png
R,Rösler GmbH,"Domstraße 18, 97070 Würzburg",T: +49 171 990 2803,info@roeslergmbh.de,zzgl. 19% MwSt.,EUR,0.8812,2,SizeName3,0.05,0.12,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/Roesler.png
