Variant_Type,Option,Price_Group,Caption1,Caption2,Option_Group
MTL,18WG,18,18K WG,750 WG,
MTL,18YG,18,18K YG,750 YG,
MTL,18RG,18,18K RG,750 RG,
MTL,14WG,14,14K WG,585 WG,
MTL,14YG,14,14K YG,585 YG,
MTL,14RG,14,14K RG,585 RG,
MTL,09WG,9,09K WG,375 WG,
MTL,09YG,9,09K YG,375 YG,
MTL,09RG,9,09K RG,375 RG,
MTL,PLAT,PLAT,Platinum,Platinum,
DIA,12,12,FG/VS,TW/VS,
DIA,13,13,FG/SI1,TW/SI1,
DIA,14,14,FG/SI2,TW/SI2,
DIA,15,15,FG/SI,TW/SI,
DIA,16,16,FGH/I1,TW/PK1,
DIA,23,23,GH/SI,W/SI,
DIA,LG,LG,Lab Grown,Labor,
DIA,MT,LG,Mounting,Mounting,
RNGSZ,440,440,44,44,EU
RNGSZ,450,450,45,45,EU
RNGSZ,455,455,45.5,45.5,EU
RNGSZ,460,460,46,46,EU
RNGSZ,465,465,46.5,46.5,EU
RNGSZ,470,470,47,47,EU
RNGSZ,480,480,48,48,EU
RNGSZ,485,485,48.5,48.5,EU
RNGSZ,490,490,49,49,EU
RNGSZ,495,495,49.5,49.5,EU
RNGSZ,500,500,50,50,EU
RNGSZ,510,510,51,51,EU
RNGSZ,515,515,51.5,51.5,EU
RNGSZ,520,520,52,52,EU
RNGSZ,530,530,53,53,EU
RNGSZ,535,535,53.5,53.5,EU
RNGSZ,540,540,54,54,EU
RNGSZ,545,545,54.5,54.5,EU
RNGSZ,550,550,55,55,EU
RNGSZ,560,560,56,56,EU
RNGSZ,565,565,56.5,56.5,EU
RNGSZ,570,570,57,57,EU
RNGSZ,580,580,58,58,EU
RNGSZ,585,585,58.5,58.5,EU
RNGSZ,590,590,59,59,EU
RNGSZ,595,595,59.5,59.5,EU
RNGSZ,600,600,60,60,EU
RNGSZ,610,610,61,61,EU
RNGSZ,615,615,61.5,61.5,EU
RNGSZ,620,620,62,62,EU
RNGSZ,630,630,63,63,EU
RNGSZ,635,635,63.5,63.5,EU
RNGSZ,640,640,64,64,EU
RNGSZ,645,645,64.5,64.5,EU
RNGSZ,650,650,65,65,EU
RNGSZ,660,660,66,66,EU
RNGSZ,665,665,66.5,66.5,EU
RNGSZ,670,670,67,67,EU
RNGSZ,675,675,67.5,67.5,EU
RNGSZ,680,680,68,68,EU
RNGSZ,690,690,69,69,EU
RNGSZ,695,695,69.5,69.5,EU
RNGSZ,700,700,70,70,EU
BRCSZ,160,160,16.0 cm,16.0 cm,EU
BRCSZ,165,165,16.5 cm,16.5 cm,EU
BRCSZ,170,170,17.0 cm,17.0 cm,EU
BRCSZ,175,175,17.5 cm,17.5 cm,EU
BRCSZ,180,180,18.0 cm,18.0 cm,EU
BRCSZ,185,185,18.5 cm,18.5 cm,EU
BRCSZ,190,190,19.0 cm,19.0 cm,EU
NCKSZ,455,455,45.5 cm,45.5 cm,EU
NCKSZ,455,455,45.5 cm,45.5 cm,EU
STN,5,5,5,5,
STN,7,7,7,7,
STN,10,10,10,10,
STN,14,14,14,14,
DIASZ,100M,100M,1.0 mm,1.0 mm,
DIASZ,110M,110M,1.1 mm,1.1 mm,
DIASZ,120M,120M,1.2 mm,1.2 mm,
DIASZ,130M,130M,1.3 mm,1.3 mm,
DIASZ,140M,140M,1.4 mm,1.4 mm,
DIASZ,150M,150M,1.5 mm,1.5 mm,
DIASZ,160M,160M,1.6 mm,1.6 mm,
DIASZ,170M,170M,1.7 mm,1.7 mm,
DIASZ,180M,180M,1.8 mm,1.8 mm,
