SizeVariantType,Size_Value,SizeCode1,SizeName1,SizeCode2,SizeName2,SizeCode3,SizeName3,SizeCode4,SizeName4
RNGSZ,44,03F,(US) 3.00,F00,(UK) F,440,(EU) 44.0,,
RNGSZ,45,03Q,(US) 3.25,F50,(UK) F½,450,(EU) 45.0,P05,(PL) 5
RNGSZ,45.5,03H,(US) 3.50,G00,(UK) G,455,(EU) 45.5,,
RNGSZ,46,03T,(US) 3.75,G50,(UK) G½,460,(EU) 46.0,P06,(PL) 6
RNGSZ,46.5,04F,(US) 4.00,H00,(UK) H,465,(EU) 46.5,,
RNGSZ,47,04Q,(US) 4.25,H50,(UK) H½,470,(EU) 47.0,P07,(PL) 7
RNGSZ,48,04H,(US) 4.50,I00,(UK) I,480,(EU) 48.0,P08,(PL) 8
RNGSZ,48.5,,,I50,(UK) I½,485,(EU) 48.5,,
RNGSZ,49,04T,(US) 4.75,J00,(UK) J,490,(EU) 49.0,P09,(PL) 9
RNGSZ,49.5,05F,(US) 5.00,J50,(UK) J½,495,(EU) 49.5,,
RNGSZ,50,05Q,(US) 5.25,K00,(UK) K,500,(EU) 50.0,P10,(PL) 10
RNGSZ,51,05H,(US) 5.50,K50,(UK) K½,510,(EU) 51.0,P11,(PL) 11
RNGSZ,51.5,05T,(US) 5.75,L00,(UK) L,515,(EU) 51.5,,
RNGSZ,52,06F,(US) 6.00,L50,(UK) L½,520,(EU) 52.0,P12,(PL) 12
RNGSZ,52.5,06Q,(US) 6.25,M00,(UK) M,525,(EU) 52.5,,
RNGSZ,53,06H,(US) 6.50,M50,(UK) M½,530,(EU) 53.0,P13,(PL) 13
RNGSZ,53.5,06T,(US) 6.75,N00,(UK) N,535,(EU) 53.5,,
RNGSZ,54,07F,(US) 7.00,N50,(UK) N½,540,(EU) 54.0,P14,(PL) 14
RNGSZ,55,07Q,(US) 7.25,O00,(UK) O,550,(EU) 55.0,P15,(PL) 15
RNGSZ,56,07H,(US) 7.50,O50,(UK) O½,560,(EU) 56.0,P16,(PL) 16
RNGSZ,56.5,07T,(US) 7.75,P00,(UK) P,565,(EU) 56.5,,
RNGSZ,57,08F,(US) 8.00,P50,(UK) P½,570,(EU) 57.0,P17,(PL) 17
RNGSZ,58,08Q,(US) 8.25,Q00,(UK) Q,580,(EU) 58.0,P18,(PL) 18
RNGSZ,58.5,08H,(US) 8.50,Q50,(UK) Q½,585,(EU) 58.5,,
RNGSZ,59,08T,(US) 8.75,R00,(UK) R,590,(EU) 59.0,P19,(PL) 19
RNGSZ,59.5,09F,(US) 9.00,R50,(UK) R½,595,(EU) 59.5,,
RNGSZ,60,09Q,(US) 9.25,S00,(UK) S,600,(EU) 60.0,P20,(PL) 20
RNGSZ,61,09H,(US) 9.50,S50,(UK) S½,610,(EU) 61.0,P21,(PL) 21
RNGSZ,61.5,09T,(US) 9.75,T00,(UK) T,615,(EU) 61.5,,
RNGSZ,62,10F,(US) 10.00,T50,(UK) T½,620,(EU) 62.0,P22,(PL) 22
RNGSZ,63,10Q,(US) 10.25,U00,(UK) U,630,(EU) 63.0,P23,(PL) 23
RNGSZ,63.5,10H,(US) 10.50,U50,(UK) U½,635,(EU) 63.5,,
RNGSZ,64,10T,(US) 10.75,V00,(UK) V,640,(EU) 64.0,P24,(PL) 24
RNGSZ,64.5,11F,(US) 11.00,V50,(UK) V½,645,(EU) 64.5,,
RNGSZ,65,11Q,(US) 11.25,W00,(UK) W,650,(EU) 65.0,P25,(PL) 25
RNGSZ,66,11H,(US) 11.50,W50,(UK) W½,660,(EU) 66.0,P26,(PL) 26
RNGSZ,66.5,11T,(US) 11.75,X00,(UK) X,665,(EU) 66.5,,
RNGSZ,67,12F,(US) 12.00,X50,(UK) X½,670,(EU) 67.0,P27,(PL) 27
RNGSZ,68,12Q,(US) 12.25,Y00,(UK) Y,680,(EU) 68.0,P28,(PL) 28
RNGSZ,68.5,12H,(US) 12.50,Z00,(UK) Z,685,(EU) 68.5,,
RNGSZ,69,12T,(US) 12.75,Z50,(UK) Z½,690,(EU) 69.0,P29,(PL) 29
