StyleCode,Variant1_Option_Code,Variant2_Option_Code,Variant3_Option_Code,Variant4_Option_Code,Variant5_Option_Code,USD_Price
A2030,09,MT,,,,810
A2030,09,12,,,,1150
A2030,09,13,,,,1120
A2030,09,14,,,,1100
A2030,09,15,,,,1085
A2030,09,16,,,,1065
A2030,09,23,,,,1065
A2030,09,LG,,,,950
A2030,14,MT,,,,1515
A2030,14,12,,,,1860
A2030,14,13,,,,1830
A2030,14,14,,,,1805
A2030,14,15,,,,1795
A2030,14,16,,,,1775
A2030,14,23,,,,1775
A2030,14,LG,,,,1660
A2030,18,MT,,,,2235
A2030,18,12,,,,2575
A2030,18,13,,,,2545
A2030,18,14,,,,2525
A2030,18,15,,,,2515
A2030,18,16,,,,2490
A2030,18,23,,,,2490
A2030,18,LG,,,,2375
A2030,PLAT,MT,,,,2405
A2030,PLAT,12,,,,2745
A2030,PLAT,13,,,,2715
A2030,PLAT,14,,,,2695
A2030,PLAT,15,,,,2680
A2030,PLAT,16,,,,2660
A2030,PLAT,23,,,,2660
A2030,PLAT,LG,,,,2545
A2031,09,MT,,,,1795
A2031,09,12,,,,2015
A2031,09,13,,,,1995
A2031,09,14,,,,1985
A2031,09,15,,,,1980
A2031,09,16,,,,1970
A2031,09,23,,,,1970
A2031,09,LG,,,,1900
A2031,14,MT,,,,3405
A2031,14,12,,,,3625
A2031,14,13,,,,3610
A2031,14,14,,,,3600
A2031,14,15,,,,3595
A2031,14,16,,,,3580
A2031,14,23,,,,3580
A2031,14,LG,,,,3515
A2031,18,MT,,,,5040
A2031,18,12,,,,5260
A2031,18,13,,,,5240
A2031,18,14,,,,5230
A2031,18,15,,,,5225
A2031,18,16,,,,5215
A2031,18,23,,,,5215
A2031,18,LG,,,,5145
A2031,PLAT,MT,,,,5425
A2031,PLAT,12,,,,5645
A2031,PLAT,13,,,,5630
A2031,PLAT,14,,,,5615
A2031,PLAT,15,,,,5610
A2031,PLAT,16,,,,5600
A2031,PLAT,23,,,,5600
A2031,PLAT,LG,,,,5530
A2032,09,MT,,,,1725
A2032,09,12,,,,1855
A2032,09,13,,,,1845
A2032,09,14,,,,1840
A2032,09,15,,,,1840
A2032,09,16,,,,1830
A2032,09,23,,,,1830
A2032,09,LG,,,,1795
A2032,14,MT,,,,3275
A2032,14,12,,,,3405
A2032,14,13,,,,3395
A2032,14,14,,,,3390
A2032,14,15,,,,3390
A2032,14,16,,,,3380
A2032,14,23,,,,3380
A2032,14,LG,,,,3345
A2032,18,MT,,,,4845
A2032,18,12,,,,4970
A2032,18,13,,,,4965
A2032,18,14,,,,4960
A2032,18,15,,,,4960
A2032,18,16,,,,4950
A2032,18,23,,,,4950
A2032,18,LG,,,,4915
A2032,PLAT,MT,,,,5215
A2032,PLAT,12,,,,5340
A2032,PLAT,13,,,,5335
A2032,PLAT,14,,,,5330
A2032,PLAT,15,,,,5330
A2032,PLAT,16,,,,5320
A2032,PLAT,23,,,,5320
A2032,PLAT,LG,,,,5285
A2190,09,MT,,,,585
A2190,09,12,,,,810
A2190,09,13,,,,795
A2190,09,14,,,,780
A2190,09,15,,,,770
A2190,09,16,,,,755
A2190,09,23,,,,745
A2190,09,LG,,,,630
A2190,14,MT,,,,1085
A2190,14,12,,,,1310
A2190,14,13,,,,1295
A2190,14,14,,,,1275
A2190,14,15,,,,1270
A2190,14,16,,,,1250
A2190,14,23,,,,1245
A2190,14,LG,,,,1130
A2190,18,MT,,,,1590
A2190,18,12,,,,1815
A2190,18,13,,,,1800
A2190,18,14,,,,1780
A2190,18,15,,,,1775
A2190,18,16,,,,1755
A2190,18,23,,,,1750
A2190,18,LG,,,,1635
A2190,PLAT,MT,,,,1710
A2190,PLAT,12,,,,1935
A2190,PLAT,13,,,,1920
A2190,PLAT,14,,,,1900
A2190,PLAT,15,,,,1895
A2190,PLAT,16,,,,1875
A2190,PLAT,23,,,,1870
A2190,PLAT,LG,,,,1755
AB00150,09,MT,140M,,,205
AB00150,09,12,140M,,,305
AB00150,09,13,140M,,,295
AB00150,09,14,140M,,,285
AB00150,09,15,140M,,,285
AB00150,09,16,140M,,,280
AB00150,09,23,140M,,,280
AB00150,09,LG,140M,,,250
AB00150,14,MT,140M,,,375
AB00150,14,12,140M,,,470
AB00150,14,13,140M,,,460
AB00150,14,14,140M,,,455
AB00150,14,15,140M,,,450
AB00150,14,16,140M,,,445
AB00150,14,23,140M,,,445
AB00150,14,LG,140M,,,415
AB00150,18,MT,140M,,,545
AB00150,18,12,140M,,,640
AB00150,18,13,140M,,,630
AB00150,18,14,140M,,,625
AB00150,18,15,140M,,,620
AB00150,18,16,140M,,,615
AB00150,18,23,140M,,,615
AB00150,18,LG,140M,,,585
AB00150,PLAT,MT,140M,,,585
AB00150,PLAT,12,140M,,,680
AB00150,PLAT,13,140M,,,670
AB00150,PLAT,14,140M,,,665
AB00150,PLAT,15,140M,,,660
AB00150,PLAT,16,140M,,,655
AB00150,PLAT,23,140M,,,655
AB00150,PLAT,LG,140M,,,625
AB00150,09,MT,190M,,,230
AB00150,09,12,190M,,,415
AB00150,09,13,190M,,,400
AB00150,09,14,190M,,,385
AB00150,09,15,190M,,,380
AB00150,09,16,190M,,,370
AB00150,09,23,190M,,,360
AB00150,09,LG,190M,,,280
AB00150,14,MT,190M,,,420
AB00150,14,12,190M,,,605
AB00150,14,13,190M,,,585
AB00150,14,14,190M,,,575
AB00150,14,15,190M,,,570
AB00150,14,16,190M,,,560
AB00150,14,23,190M,,,550
AB00150,14,LG,190M,,,465
AB00150,18,MT,190M,,,615
AB00150,18,12,190M,,,795
AB00150,18,13,190M,,,780
AB00150,18,14,190M,,,765
AB00150,18,15,190M,,,760
AB00150,18,16,190M,,,750
AB00150,18,23,190M,,,740
AB00150,18,LG,190M,,,660
AB00150,PLAT,MT,190M,,,660
AB00150,PLAT,12,190M,,,840
AB00150,PLAT,13,190M,,,825
AB00150,PLAT,14,190M,,,810
AB00150,PLAT,15,190M,,,805
AB00150,PLAT,16,190M,,,795
AB00150,PLAT,23,190M,,,785
AB00150,PLAT,LG,190M,,,705
AB00150,09,MT,240M,,,270
AB00150,09,12,240M,,,595
AB00150,09,13,240M,,,565
AB00150,09,14,240M,,,545
AB00150,09,15,240M,,,535
AB00150,09,16,240M,,,515
AB00150,09,23,240M,,,505
AB00150,09,LG,240M,,,325
AB00150,14,MT,240M,,,490
AB00150,14,12,240M,,,815
AB00150,14,13,240M,,,785
AB00150,14,14,240M,,,765
AB00150,14,15,240M,,,760
AB00150,14,16,240M,,,735
AB00150,14,23,240M,,,730
AB00150,14,LG,240M,,,550
AB00150,18,MT,240M,,,715
AB00150,18,12,240M,,,1040
AB00150,18,13,240M,,,1015
AB00150,18,14,240M,,,990
AB00150,18,15,240M,,,985
AB00150,18,16,240M,,,965
AB00150,18,23,240M,,,955
AB00150,18,LG,240M,,,775
AB00150,PLAT,MT,240M,,,770
AB00150,PLAT,12,240M,,,1095
AB00150,PLAT,13,240M,,,1065
AB00150,PLAT,14,240M,,,1045
AB00150,PLAT,15,240M,,,1040
AB00150,PLAT,16,240M,,,1015
AB00150,PLAT,23,240M,,,1010
AB00150,PLAT,LG,240M,,,825
AB00150,09,MT,270M,,,280
AB00150,09,12,270M,,,760
AB00150,09,13,270M,,,730
AB00150,09,14,270M,,,685
AB00150,09,15,270M,,,675
AB00150,09,16,270M,,,635
AB00150,09,23,270M,,,635
AB00150,09,LG,270M,,,360
AB00150,14,MT,270M,,,515
AB00150,14,12,270M,,,995
AB00150,14,13,270M,,,965
AB00150,14,14,270M,,,920
AB00150,14,15,270M,,,910
AB00150,14,16,270M,,,870
AB00150,14,23,270M,,,870
AB00150,14,LG,270M,,,590
AB00150,18,MT,270M,,,750
AB00150,18,12,270M,,,1230
AB00150,18,13,270M,,,1205
AB00150,18,14,270M,,,1155
AB00150,18,15,270M,,,1145
AB00150,18,16,270M,,,1105
AB00150,18,23,270M,,,1105
AB00150,18,LG,270M,,,830
AB00150,PLAT,MT,270M,,,810
AB00150,PLAT,12,270M,,,1285
AB00150,PLAT,13,270M,,,1260
AB00150,PLAT,14,270M,,,1215
AB00150,PLAT,15,270M,,,1205
AB00150,PLAT,16,270M,,,1160
AB00150,PLAT,23,270M,,,1160
AB00150,PLAT,LG,270M,,,885
AB00250,09,MT,140M,,,155
AB00250,09,12,140M,,,250
AB00250,09,13,140M,,,240
AB00250,09,14,140M,,,235
AB00250,09,15,140M,,,230
AB00250,09,16,140M,,,225
AB00250,09,23,140M,,,225
AB00250,09,LG,140M,,,195
AB00250,14,MT,140M,,,270
AB00250,14,12,140M,,,365
AB00250,14,13,140M,,,355
AB00250,14,14,140M,,,350
AB00250,14,15,140M,,,345
AB00250,14,16,140M,,,340
AB00250,14,23,140M,,,340
AB00250,14,LG,140M,,,310
AB00250,18,MT,140M,,,390
AB00250,18,12,140M,,,485
AB00250,18,13,140M,,,475
AB00250,18,14,140M,,,470
AB00250,18,15,140M,,,465
AB00250,18,16,140M,,,460
AB00250,18,23,140M,,,460
AB00250,18,LG,140M,,,430
AB00250,PLAT,MT,140M,,,415
AB00250,PLAT,12,140M,,,510
AB00250,PLAT,13,140M,,,505
AB00250,PLAT,14,140M,,,495
AB00250,PLAT,15,140M,,,495
AB00250,PLAT,16,140M,,,490
AB00250,PLAT,23,140M,,,490
AB00250,PLAT,LG,140M,,,460
AB00250,09,MT,190M,,,185
AB00250,09,12,190M,,,365
AB00250,09,13,190M,,,350
AB00250,09,14,190M,,,335
AB00250,09,15,190M,,,330
AB00250,09,16,190M,,,320
AB00250,09,23,190M,,,310
AB00250,09,LG,190M,,,230
AB00250,14,MT,190M,,,330
AB00250,14,12,190M,,,510
AB00250,14,13,190M,,,495
AB00250,14,14,190M,,,480
AB00250,14,15,190M,,,475
AB00250,14,16,190M,,,465
AB00250,14,23,190M,,,455
AB00250,14,LG,190M,,,375
AB00250,18,MT,190M,,,475
AB00250,18,12,190M,,,655
AB00250,18,13,190M,,,640
AB00250,18,14,190M,,,630
AB00250,18,15,190M,,,625
AB00250,18,16,190M,,,615
AB00250,18,23,190M,,,605
AB00250,18,LG,190M,,,520
AB00250,PLAT,MT,190M,,,510
AB00250,PLAT,12,190M,,,690
AB00250,PLAT,13,190M,,,675
AB00250,PLAT,14,190M,,,665
AB00250,PLAT,15,190M,,,660
AB00250,PLAT,16,190M,,,645
AB00250,PLAT,23,190M,,,635
AB00250,PLAT,LG,190M,,,555
AB00250,09,MT,240M,,,245
AB00250,09,12,240M,,,570
AB00250,09,13,240M,,,540
AB00250,09,14,240M,,,520
AB00250,09,15,240M,,,510
AB00250,09,16,240M,,,490
AB00250,09,23,240M,,,480
AB00250,09,LG,240M,,,300
AB00250,14,MT,240M,,,445
AB00250,14,12,240M,,,770
AB00250,14,13,240M,,,740
AB00250,14,14,240M,,,720
AB00250,14,15,240M,,,710
AB00250,14,16,240M,,,690
AB00250,14,23,240M,,,685
AB00250,14,LG,240M,,,500
AB00250,18,MT,240M,,,650
AB00250,18,12,240M,,,975
AB00250,18,13,240M,,,945
AB00250,18,14,240M,,,925
AB00250,18,15,240M,,,915
AB00250,18,16,240M,,,895
AB00250,18,23,240M,,,885
AB00250,18,LG,240M,,,705
AB00250,PLAT,MT,240M,,,695
AB00250,PLAT,12,240M,,,1020
AB00250,PLAT,13,240M,,,990
AB00250,PLAT,14,240M,,,970
AB00250,PLAT,15,240M,,,965
AB00250,PLAT,16,240M,,,940
AB00250,PLAT,23,240M,,,935
AB00250,PLAT,LG,240M,,,750
AB00250,09,MT,270M,,,260
AB00250,09,12,270M,,,740
AB00250,09,13,270M,,,715
AB00250,09,14,270M,,,665
AB00250,09,15,270M,,,655
AB00250,09,16,270M,,,615
AB00250,09,23,270M,,,615
AB00250,09,LG,270M,,,340
AB00250,14,MT,270M,,,480
AB00250,14,12,270M,,,960
AB00250,14,13,270M,,,930
AB00250,14,14,270M,,,885
AB00250,14,15,270M,,,875
AB00250,14,16,270M,,,835
AB00250,14,23,270M,,,835
AB00250,14,LG,270M,,,555
AB00250,18,MT,270M,,,700
AB00250,18,12,270M,,,1180
AB00250,18,13,270M,,,1150
AB00250,18,14,270M,,,1105
AB00250,18,15,270M,,,1095
AB00250,18,16,270M,,,1055
AB00250,18,23,270M,,,1055
AB00250,18,LG,270M,,,775
AB00250,PLAT,MT,270M,,,750
AB00250,PLAT,12,270M,,,1230
AB00250,PLAT,13,270M,,,1205
AB00250,PLAT,14,270M,,,1155
AB00250,PLAT,15,270M,,,1145
AB00250,PLAT,16,270M,,,1105
AB00250,PLAT,23,270M,,,1105
AB00250,PLAT,LG,270M,,,830
AB00350,09,MT,140M,,,155
