Code,Group,Wt
RND0.7M,R00,0.002
RND0.8M,R00,0.003
RND0.9M,R01,0.004
RND1.0M,R01,0.005
RND1.1M,R01,0.006
RND1.2M,R01,0.008
RND1.3M,R02,0.01
RND1.4M,R02,0.012
RND1.5M,R02,0.015
RND1.6M,R05,0.017
RND1.7M,R05,0.02
RND1.8M,R06,0.023
RND1.9M,R06,0.028
RND2.0M,R06,0.032
RND2.1M,R06,0.04
RND2.2M,R06,0.045
RND2.3M,R09,0.05
RND2.4M,R09,0.055
RND2.5M,R09,0.063
RND2.6M,R09,0.073
RND2.7M,R11,0.08
RND2.8M,R11,0.087
RND2.9M,R12,0.097
RND3.0M,R12,0.107
RND3.1M,R12,0.117
RND3.2M,R12,0.127
RND3.3M,R12,0.143
RND3.4M,R14,0.155
RND3.5M,R14,0.165
RND3.6M,R18,0.175
RND3.7M,R20,0.2
RND3.8M,R20,0.22
RND3.9M,R23,0.235
RND4.0M,R25,0.255
RND4.1M,R25,0.275
RND030W,R30,0.32
RND038W,R38,0.365
RND040W,R40,0.415
RND046W,R46,0.47
RND050W,R50,0.51
RND060W,R60,0.61
RND070W,R70,0.72
RND075W,R75,0.76
RND080W,R80,0.81
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
