StyleCode,Title,Description,Type,SubType,Collection,MetalColor,Variant1,Variant2,Variant3,Variant4,Variant5,SizeVariantType,Static_Variant,Variant1_Option,Variant2_Option,Variant3_Option,Variant4_Option,Variant5_Option,Size_Value,Static_Variant_Option,SKU_Format,Image_Folder
A2030,,64 pcs 1.03 cttw,Armband,Fashion,Aurum,YG,MTL,DIA,,,,BRCSZ,,14YG,23,,,,18,,StyleCode-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/A2030/
A2031,,60 pcs 0.51 cttw,Armband,Fashion,Terra,YG,MTL,DIA,,,,BRCSZ,,14YG,23,,,,18,,StyleCode-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/A2031/
A2032,,42 pcs 0.25 cttw,Armband,Fashion,Terra,YG,MTL,DIA,,,,BRCSZ,,14YG,23,,,,18,,StyleCode-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/A2032/
A2033,,8 pcs 0.16 cttw,Armband,,,RG,MTL,DIA,,,,BRCSZ,,18RG,14,,,,18,,StyleCode-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/A2033/
A2190,,13x 0.50cttw,Armband,Fashion,,WG,MTL,DIA,,,,,,18WG,14,,,,,,StyleCode-Variant1Variant2,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/A2190/
AB00150,Channel,21x1.4mm=0.25cttw | 17x1.9mm=0.45cttw | 13x2.4mm=0.70cttw | 13x2.7mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,140M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/AB00150/
AB00250,French Pave,21x1.4mm=0.25cttw | 17x1.9mm=0.45cttw | 13x2.4mm=0.70cttw | 13x2.7mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,140M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/AB00250/
AB00350,Micro Prong,21x1.4mm=0.25cttw | 17x1.9mm=0.45cttw | 13x2.4mm=0.70cttw | 13x2.7mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,140M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/AB00350/
AB00450,Shared Prong,21x1.4mm=0.25cttw | 17x1.9mm=0.45cttw | 13x2.4mm=0.70cttw | 13x2.7mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,140M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/AB00450/
AB00550,Scalloped (U),21x1.4mm=0.25cttw | 17x1.9mm=0.45cttw | 13x2.4mm=0.70cttw | 13x2.7mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,140M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/AB00550/
AB00650,Split-Pave,21x1.4mm=0.25cttw | 15x2.0mm=0.45cttw | 13x2.4mm=0.70cttw | 11x2.8mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,140M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://jewelrymedia.s3.dualstack.us-east-2.amazonaws.com/catalog/AB00650/
AB00750,Wave Prong,17x1.5mm=0.25cttw | 11x2.2mm=0.48cttw | 10x2.6mm=0.70cttw | 11x2.8mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,150M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/AB00750/
AB00850,Flush Set,17x1.5mm=0.25cttw | 11x2.2mm=0.48cttw | 10x2.6mm=0.70cttw | 11x2.8mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,150M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/AB00850/
AB00950,Split-Pave,17x1.5mm=0.25cttw | 13x2.1mm=0.48cttw | 10x2.6mm=0.70cttw | 11x2.8mm=1.00cttw,Rings,Anniversary Bands,Bridal,WG,MTL,DIA,MMCTW,,,RNGSZ,,18WG,14,150M025,,,53,,StyleCode-Variant3-Variant1Variant2-Size_Variant,https://diamantra.s3.dualstack.us-east-2.amazonaws.com/jewelry/AB00950/
