StyleCode,VariantCode,Shape,Setting,StoneCount,StoneSize,Metal,Quality,Price
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,10,F-G / VS (Mined),555.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,10,G-H / SI (Mined),480.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,10,E-F / VS  (Lab Grown),390.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,14,F-G / VS (Mined),720.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,14,G-H / SI (Mined),645.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,14,E-F / VS  (Lab Grown),555.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,18,F-G / VS (Mined),895.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,18,G-H / SI (Mined),820.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,18,E-F / VS  (Lab Grown),730.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,PLAT,F-G / VS (Mined),880.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,PLAT,G-H / SI (Mined),805.00
WBRDFP,WBRDFP-140M00,Round,French Pave,Eternity,1.4 mm,PLAT,E-F / VS  (Lab Grown),715.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,10,F-G / VS (Mined),900.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,10,G-H / SI (Mined),740.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,10,E-F / VS  (Lab Grown),490.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,14,F-G / VS (Mined),1125.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,14,G-H / SI (Mined),965.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,14,E-F / VS  (Lab Grown),715.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,18,F-G / VS (Mined),1365.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,18,G-H / SI (Mined),1200.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,18,E-F / VS  (Lab Grown),950.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,PLAT,F-G / VS (Mined),1345.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,PLAT,G-H / SI (Mined),1180.00
WBRDFP,WBRDFP-190M00,Round,French Pave,Eternity,1.9 mm,PLAT,E-F / VS  (Lab Grown),930.00
WBRDFP,WBRDFP-240M00,Round,French Pave,Eternity,2.4 mm,10,F-G / VS (Mined),1435.00
